name,version,purl,type,bom-ref,hashes
tqdm,4.67.1,pkg:pypi/tqdm@4.67.1,library,pkg:pypi/tqdm@4.67.1,
traits,7.0.2,pkg:pypi/traits@7.0.2,library,pkg:pypi/traits@7.0.2,
transformers,4.50.3,pkg:pypi/transformers@4.50.3,library,pkg:pypi/transformers@4.50.3,
triton,2.2.0,pkg:pypi/triton@2.2.0,library,pkg:pypi/triton@2.2.0,
typer,0.16.0,pkg:pypi/typer@0.16.0,library,pkg:pypi/typer@0.16.0,
typing-extensions,4.14.0,pkg:pypi/typing-extensions@4.14.0,library,pkg:pypi/typing-extensions@4.14.0,
typing-inspect,0.9.0,pkg:pypi/typing-inspect@0.9.0,library,pkg:pypi/typing-inspect@0.9.0,
typing-inspection,0.4.1,pkg:pypi/typing-inspection@0.4.1,library,pkg:pypi/typing-inspection@0.4.1,
tzdata,2025.2,pkg:pypi/tzdata@2025.2,library,pkg:pypi/tzdata@2025.2,
urllib3,2.5.0,pkg:pypi/urllib3@2.5.0,library,pkg:pypi/urllib3@2.5.0,
uvicorn,0.34.3,pkg:pypi/uvicorn@0.34.3,library,pkg:pypi/uvicorn@0.34.3,
uvloop,0.21.0,pkg:pypi/uvloop@0.21.0,library,pkg:pypi/uvloop@0.21.0,
watchdog,6.0.0,pkg:pypi/watchdog@6.0.0,library,pkg:pypi/watchdog@6.0.0,
watchfiles,1.1.0,pkg:pypi/watchfiles@1.1.0,library,pkg:pypi/watchfiles@1.1.0,
websocket-client,1.8.0,pkg:pypi/websocket-client@1.8.0,library,pkg:pypi/websocket-client@1.8.0,
websockets,15.0.1,pkg:pypi/websockets@15.0.1,library,pkg:pypi/websockets@15.0.1,
wrapt,1.17.2,pkg:pypi/wrapt@1.17.2,library,pkg:pypi/wrapt@1.17.2,
xlrd,2.0.2,pkg:pypi/xlrd@2.0.2,library,pkg:pypi/xlrd@2.0.2,
xlsxwriter,3.2.5,pkg:pypi/xlsxwriter@3.2.5,library,pkg:pypi/xlsxwriter@3.2.5,
yarl,1.20.1,pkg:pypi/yarl@1.20.1,library,pkg:pypi/yarl@1.20.1,
youtube-transcript-api,1.0.3,pkg:pypi/youtube-transcript-api@1.0.3,library,pkg:pypi/youtube-transcript-api@1.0.3,
zipp,3.23.0,pkg:pypi/zipp@3.23.0,library,pkg:pypi/zipp@3.23.0,
zstandard,0.23.0,pkg:pypi/zstandard@0.23.0,library,pkg:pypi/zstandard@0.23.0,
